,IR,QMJ,Masjed Soleyman,Masjed Soleyman,,RQ,---4----,0901,,3208N 04916E,
,IR,MMH,Mazandaran Mahalleh,Mazandaran Mahalleh,11,RL,--3-----,1207,,3707N 05014E,
,IR,MEB,Meybod,Meybod,25,RL,--3-----,1207,,3213N 05400E,
,IR,OSM,Mosul,Mosul,,RQ,0-------,9012,,,
,IR,NKW,Nakhjavån Tappeh,Nakhjavan Tappeh,,RL,--3-----,0307,,3743N 04506E,
,IR,NKA,Neka,Neka,21,RQ,1-------,0901,,3650N 05316E,
,IR,NSB,Neyshabur,Neyshabur,30,RL,--3-----,1707,,3612N 05847E,
,IR,NUJ,Nojeh,Nojeh,,RQ,---4----,0907,,4558N 03829E,
,IR,NSH,Now Shahr,Now Shahr,,RQ,1-------,9506,,,
,IR,OMI,Omidiyeh,Omidiyeh,10,RQ,---4----,0907,,3050N 04932E,
,IR,PFQ,Parsabad,Parsabad,,RQ,---4----,0907,,3939N 04754E,
,IR,PYK,Payam Apt,Payam Apt,,RL,--345---,0601,,3547N 05049E,
,IR,WPS,Persepolis,Persepolis,,AI,---4----,0001,,,
,IR,PSR,Piran Shahr,Piran Shahr,,RQ,-----6--,1007,,3641N 04508E,
,IR,QAZ,Qazvin,Qazvin,11,RL,--3-----,0401,,3616N 05000E,
,IR,QSM,Qeshm,Qeshm,,RL,--3-----,9805,,,
,IR,QSH,Qeshm island,Qeshm island,,RQ,--3-----,9705,,,
,IR,QUM,Qum,Qum,26,AI,--34----,0401,,3438N 05053E,
,IR,RJN,Rafsanjan,Rafsanjan,,AI,---4----,0001,,,
,IR,RZR,Ramsar,Ramsar,,AI,---4----,0001,,,
,IR,RBA,Ras Bahrgan,Ras Bahrgan,,QQ,1-------,8103,,,
,IR,RAS,Rasht,Rasht,,AI,---4----,0001,,,
,IR,RTM,Ratawi,Ratawi,,RQ,0-------,9012,,,
,IR,SAB,Sabzevar,Sabzevar,30,RL,--3-----,0901,,3613N 05741E,
,IR,SAZ,Sabzevar,Sabzevar,20,RL,--3-----,1207,,3330N 04802E,
,IR,AFZ,Sabzevar National,Sabzevar National,,RQ,---4----,0907,,3610N 05735E,
,IR,ACP,Sahand,Sahand,,RQ,---4----,0907,,3720N 04607E,
,IR,SAN,Sahlan,Sahlan,,RQ,--3-----,0006,,,
,IR,SFN,Salafchegan,Salafchegan,22,RL,--3-----,1707,,3428N 05027E,
,IR,SMW,Samawa,Samawa,,RQ,0-------,9012,,,
,IR,SDG,Sanandaj,Sanandaj,,AI,---4----,0001,,,
,IR,CKT,Sarakhs,Sarakhs,,AI,---4----,0001,,,
,IR,SIX,Sari,Sari,,QQ,1-------,8103,,,
,IR,SRA,Sarooj Anchorage,Sarooj Anchorage,,RQ,1-------,0401,,2744N 05209E,
