,LV,BMT,"Baltmarine Terminal, Riga","Baltmarine Terminal, Riga",RIX,RQ,1------B,1501,,,
,LV,RAG,Ragana,Ragana,048,RL,--3-----,1601,,5710N 02442E,
,LV,RMV,Ramava,Ramava,052,RL,--3-----,1601,,5653N 02409E,
,LV,RNA,Rauna,Rauna,022,RL,--3-----,1307,,5720N 02537E,
,LV,REZ,Rezekne,Rezekne,077,RL,--3-----,1307,,5630N 02720E,
,LV,RBN,Riebini,Riebini,078,RL,--3-----,1601,,5620N 02648E,
,LV,RIX,Riga,Riga,RIX,AI,1--45---,9601,,,
,LV,RBK,Robeznieki,Robeznieki,015,RL,--3-----,1607,,5713N 02750E,
,LV,ROJ,Roja,Roja,079,RQ,1-3-----,1307,,5730N 02248E,
,LV,ROP,Ropazi,Ropazi,080,RL,1-3-----,1401,,5658N 02438E,
,LV,RPZ,Ropazi,Ropazi,080,RL,--3-----,1601,,5658N 02438E,
,LV,ZRU,Rucava,Rucava,081,RL,-----6--,1307,,5610N 02109E,
,LV,RGJ,Rugaji,Rugaji,082,RL,--3-----,1601,,5700N 02708E,
,LV,RJN,Rujiena,Rujiena,084,RL,--3-----,1601,,5754N 02519E,
,LV,RUM,Rumbula,Rumbula,095,RL,1-3-----,1401,,5652N 02415E,
,LV,RDL,Rundale,Rundale,083,RL,--3-----,1601,,5625N 02359E,
,LV,SLA,Sala,Sala,085,RL,--3-----,1601,,5630N 02545E,
,LV,SAL,Salacgriva,Salacgriva,054,RL,1-3-----,1307,,5745N 02421E,
,LV,SPS,Salaspils,Salaspils,087,RL,--3-----,1307,,5651N 02420E,
,LV,SDS,Saldus,Saldus,088,RL,-23-----,1307,,5640N 02230E,
,LV,SAR,Sarkani,Sarkani,059,RL,--3-----,1307,,5653N 02615E,
,LV,SKT,Saulkrasti,Saulkrasti,089,RL,--3-----,1601,,5715N 02425E,
,LV,SAU,Sauriesi,Sauriesi,RIX,RL,--3-----,1301,,5655N 02421E,
,LV,ZSA,Seda,Seda,096,RL,-----6--,1307,,5739N 02545E,
,LV,SEJ,Seja,Seja,090,RL,--3-----,1601,,5712N 02435E,
,LV,RQA,Sidgunda,Sidgunda,061,RL,--3-----,1601,,5657N 02455E,
,LV,SGD,Sigulda,Sigulda,091,RL,--3--6--,1307,,5709N 02451E,
,LV,SRD,Skrunda,Skrunda,093,RL,--3-----,1601,,5641N 02201E,
,LV,SKR,Skrīveri,Skrīveri,,RL,--3-----,1301,,5639N 02508E,
,LV,SKU,Skulte,Skulte,054,RL,123-----,1307,,5719N 02426E,
,LV,SPG,Slampes Pagasts,Slampes Pagasts,099,RQ,--3-----,1401,,5650N 02317E,
,LV,SMA,Smarde,Smarde,029,RL,--3-----,1307,,5657N 02320E,
,LV,STE,Smiltene,Smiltene,094,RL,-23-----,1307,,5726N 02554E,
